,app_id,count_reviews,store,created,app.size,app.title,ext_id,app.release_date,app.country
59,1044085,6,itunes,2021-02-13 21:41:35,364.0,4th Grade Math Learning Games,1159612010,2021-02-19,us
60,1044087,2,itunes,2021-02-13 21:41:42,439.0,Matching Games for Kids,1549224321,2021-02-12,us
61,1047054,1,itunes,2021-02-14 19:30:03,489.0,SKIDOS Learning Fantasy World,1549247908,2021-02-14,us
62,1378915,0,itunes,2021-04-08 09:17:40,476.0,Kids Building & Learning Games,1551104686,2021-03-31,us
63,1378916,0,itunes,2021-04-08 09:17:42,380.0,Toddler Shapes Game: Learning,1551104363,2021-03-09,us
64,1378925,0,itunes,2021-04-08 10:03:18,400.0,Matching Puzzles for Kids 3+,1551104516,2021-03-29,us
65,1388489,0,itunes,2021-04-09 11:38:06,752.0,Toddler Puzzle: Games for Kids,1557244765,2021-04-08,us
66,1425769,27,itunes,2021-04-16 13:28:02,119.0,SplashLearn: Parent Connect,973058286,2021-02-02,us
67,1627085,1253,itunes,2021-05-04 10:37:51,73.0,Unblock Ball - Block Puzzle,1461045706,2019-04-28,us
68,1627086,1916,itunes,2021-05-04 10:37:59,65.0,Unroll Me®,769574372,2014-01-22,us
